Classification,Message
ham,It has everything to do with the weather. Keep extra warm. Its a cold but nothing serious. Pls lots of vitamin c
ham,Hey gals.. Anyone of u going down to e driving centre tmr?
ham,I'm always on yahoo messenger now. Just send the message to me and i.ll get it you may have to send it in the mobile mode sha but i.ll get it. And will reply.
ham,I'm putting it on now. It should be ready for  &lt
spam,"Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon"
ham,"SMS. ac JSco: Energy is high, but u may not know where 2channel it. 2day ur leadership skills r strong. Psychic? Reply ANS w/question. End? Reply END JSCO"
ham,Host-based IDPS for linux systems.
ham,Don no da:)whats you plan?
ham,Ill be there on  &lt
ham,Oh my God. I'm almost home
ham,Total video converter free download type this in google search:)
ham,Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
ham,Sounds like something that someone testing me would sayy
ham,"Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)"
ham,Oops sorry. Just to check that you don't mind picking me up tomo at half eight from station. Would that be ok?
ham,"Hey sweet, I was wondering when you had a moment if you might come to me ? I want to send a file to someone but it won't go over yahoo for them because their connection sucks, remember when you set up that page for me to go to and download the format disc ? Could you tell me how to do that ? Or do you know some other way to download big files ? Because they can download stuff directly from the internet. Any help would be great, my prey ... *teasing kiss*"
ham,Hows the champ just leaving glasgow!
ham,K:)all the best:)congrats...
ham,I wonder if you'll get this text?
ham,I need to come home and give you some good lovin...
ham,Our brand new mobile music service is now live. The free music player will arrive shortly. Just install on your phone to browse content from the top artists.
ham,Shall i ask one thing if you dont mistake me.
ham,Check wid corect speling i.e. Sarcasm
ham,"URGENT! Your Mobile No was awarded a Â£2,000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate"
ham,Are you angry with me. What happen dear
ham,I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui.
ham,Yup ok thanx...
ham,Hi:)cts employee how are you?
ham,Pls pls find out from aunt nike.
ham,Hey what happen de. Are you alright.
ham,Should I have picked up a receipt or something earlier
ham,I think chennai well settled?
ham,Oh dang! I didn't mean o send that to you! Lol!
ham,Unfortunately i've just found out that we have to pick my sister up from the airport that evening so don't think i'll be going out at all. We should try to go out one of th
ham,Horrible bf... I now v hungry...
ham,Remember on that day..
ham,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
spam,How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!
ham,All sounds good. Fingers . Makes it difficult to type
ham,Midnight at the earliest
ham,You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?
ham,K come to nordstrom when you're done
ham,Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp
spam,Now press conference da:)
spam,After completed degree. There is no use in joining finance.
spam,Shant disturb u anymore... Jia you...
ham,Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...
ham,"Me, i dont know again oh"
ham,Dude sux for snake. He got old and raiden got buff
spam,He says hi and to get your ass back to south tampa (preferably at a kegger)
ham,In e msg jus now. U said thanks for gift.
ham,U too...
ham,Ok how you dear. Did you call chechi
ham,Yeah we do totes. When u wanna?
ham,Ok i found dis pierre cardin one which looks normal costs 20 its on sale.
ham,Good sleep is about rhythm. The person has to establish a rhythm that the body will learn and use. If you want to know more :-)
spam,Wat r u doing?
ham,Message from . I am at Truro Hospital on ext. You can phone me here. as I have a phone by my side
ham,"Single line with a big meaning::::: ""Miss anything 4 ur ""Best Life"" but, don't miss ur best life for anything... Gud nyt..."
ham,"Just got some gas money, any chance you and the gang want to go on a grand nature adventure?"
ham,Dnt worry...use ice pieces in a cloth pack.also take 2 tablets.
ham,Dude just saw a parked car with its sunroof popped up. Sux
ham,Get ready to put on your excellent sub face :)
ham,Tmrw. Im finishing 9 doors
ham,"The  &lt;#&gt; g that i saw a few days ago, the guy wants sell wifi only for  &lt;#&gt;  and with 3g for  &lt;#&gt; . That's why i blanked him."
ham,I am late. I will be there at
ham,"whatever, im pretty pissed off."
spam,I dont have that much image in class.
ham,No:-)i got rumour that you going to buy apartment in chennai:-)
ham,Near kalainar tv office.thenampet
ham,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL
ham,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now! HG/Suite342/2Lands Row/W1J6HL
ham,My sis is catching e show in e afternoon so i'm not watching w her. So c u wan 2 watch today or tmr lor.
ham,"Sounds gd... Haha... Can... Wah, u yan jiu so fast liao..."
ham,No. To be nosy I guess. Idk am I over reacting if I'm freaked?
ham,"Remember all those whom i hurt during days of satanic imposter in me.need to pay a price,so be it.may destiny keep me going and as u said pray that i get the mind to get over the same."
ham,"Why is that, princess? I bet the brothas are all chasing you!"
ham,"I shall book chez jules for half eight, if that's ok with you?"
ham,Hhahhaahahah rofl wtf nig was leonardo in your room or something
ham,"Yep, at derek's house now, see you Sunday &lt;3"
ham,"It's cool, let me know before it kicks off around  &lt;#&gt; , I'll be out and about all day"
spam,"Sorry, I'll call later"
ham,I was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here. That  &lt
ham,There are no other charges after transfer charges and you can withdraw anyhow you like
ham,At 4. Let's go to bill millers
ham,"Somewhr someone is surely made 4 u. And God has decided a perfect time to make u meet dat person. . . . till den, . . . . . Enjoy ur crushes..!!!;-)"
ham,That's my honeymoon outfit. :)
ham,Will it help if we propose going back again tomorrow
ham,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04
ham,Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:
ham,Pls confirm the time to collect the cheque.
ham,As a Registered Subscriber yr draw 4 a Â£100 gift voucher will b entered on receipt of a correct ans. When are the next olympics. Txt ans to 80062
ham,URGENT! Your Mobile number has been awarded with a Â£2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm
ham,"Yeah probably, I still gotta check out with leo"
spam,K.then any other special?
ham,Carlos is taking his sweet time as usual so let me know when you and patty are done/want to smoke and I'll tell him to haul ass
ham,Ok pa. Nothing problem:-)
ham,Have you heard about that job? I'm going to that wildlife talk again tonight if u want2come. Its that2worzels and a wizzle or whatever it is?!
ham,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U"
ham,When you came to hostel.
ham,Ok no prob... I'll come after lunch then...
ham,Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...
ham,You all ready for * big day tomorrow?
ham,I'll probably be around mu a lot
ham,645
ham,RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!
ham,Thnx dude. u guys out 2nite?
ham,Me sef dey laugh you. Meanwhile how's my darling anjie!
ham,Mm i had my food da from out
ham,"K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas"
ham,Did u download the fring app?
ham,The 2 oz guy is being kinda flaky but one friend is interested in picking up $ &lt
ham,Friends that u can stay on fb chat with
ham,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-"
spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599
ham,"Ah, well that confuses things, doesnât it?"
spam,500 free text msgs. Just text ok to 80488 and we'll credit your account
ham,Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.
ham,Dear how you. Are you ok?
ham,Yes princess! I want to make you happy...
ham,Sounds like you have many talents! would you like to go on a dinner date next week?
ham,I am going to film 2day da. At 6pm. Sorry da.
ham,We not watching movie already. Xy wants 2 shop so i'm shopping w her now.
ham,Yesterday its with me only . Now am going home.
ham,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p"
ham,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G."
ham,Great comedy..cant stop laughing da:)
ham,FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242
ham,"Alright, we're all set here, text the man"
ham,"Hi , where are you? We're at  and they're not keen to go out i kind of am but feel i shouldn't so can we go out tomo, don't mind do you?"
ham,Sleeping nt feeling well
spam,U WILL SWITCH YOUR FONE ON DAMMIT!!
ham,India have to take lead:)
ham,I.ll post her out l8r. In class
ham,Thts wat Wright Brother did to fly..
ham,"Evening * v good if somewhat event laden. Will fill you in, don't you worry â¦ Head * ok but throat * wrecked. See you at six then!"
ham,If u laugh really loud.. If u talk spontaneously.. If u dont care what others feel.. U are probably with your dear &amp
ham,ITS A LAPTOP TAKE IT WITH YOU.
spam,I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.
ham,I wan but too early lei... Me outside now wun b home so early... Neva mind then...
ham,"For ur chance to win a Â£250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk"
ham,I was at bugis juz now wat... But now i'm walking home oredi... Ã so late then reply... I oso saw a top dat i like but din buy... Where r Ã¼ now?
ham,"Wishing you and your family Merry ""X"" mas and HAPPY NEW Year in advance.."
ham,At 7 we will go ok na.
ham,Yes I posted a couple of pics on fb. There's still snow outside too. I'm just waking up :)
spam,S:-)if we have one good partnership going we will take lead:)
ham,RGENT! This is the 2nd attempt to contact U!U have WON Â£1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. maxÂ£7. 50
ham,"Yeah, where's your class at?"
ham,No just send to you. Bec you in temple na.
ham,"You aren't coming home between class, right? I need to work out and shower!"
ham,S but mostly not like that.
ham,Ã v ma fan...
ham,Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...
ham,Guess who spent all last night phasing in and out of the fourth dimension
ham,So now my dad is gonna call after he gets out of work and ask all these crazy questions.
ham,"Yes..but they said its IT.,"
ham,Lmao!nice 1
ham,Glad to see your reply.
ham,URGENT! We are trying to contact U. Todays draw shows that you have won a Â£800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only
ham,Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.
ham,Nah dub but je still buff
ham,"Painful words- ""I thought being Happy was the most toughest thing on Earth... But, the toughest is acting Happy with all unspoken pain inside.."""
ham,"Yeah, that's fine! It's Â£6 to get in, is that ok?"
ham,Lol where do u come up with these ideas?
spam,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas"
spam,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."
ham,Okay... We wait ah
ham,Y lei?
ham,Already am squatting is the new way of walking
spam,Do you want bold 2 or bb torch
ham,Cramps stopped. Going back to sleep
ham,todays vodafone numbers ending with 0089(my last four digits) are selected to received a Â£350 award. If your number matches please call 09063442151 to claim your Â£350 award
ham,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870
ham,Nan sonathaya soladha. Why boss?
spam,Bring tat cd don forget
ham,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. Â£1.50 SP:Tyrone
ham,I don't know but I'm raping dudes at poker
ham,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.
ham,Ã eatin later but i'm eatin wif my frens now lei... Ã going home first?
ham,Finish already... Yar they keep saying i mushy... I so embarrassed ok...
spam,"Sorry man, my stash ran dry last night and I can't pick up more until sunday"
ham,Hai priya are you right. What doctor said pa. Where are you.
ham,"Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service."
ham,Ok...
ham,Please ask mummy to call father
ham,Can come my room but cannot come my house cos my house still messy... Haha...
ham,I have lost 10 kilos as of today!
ham,Just taste fish curry :-P
spam,Yun ah.now Ã¼ wkg where?btw if Ã¼ go nus sc. Ã wana specialise in wad?
ham,Was doing my test earlier. I appreciate you. Will call you tomorrow.
ham,U meet other fren dun wan meet me ah... Muz b a guy rite...
ham,"(No promises on when though, haven't even gotten dinner yet)"
ham,Yeah I don't see why not
ham,Asking do u knw them or nt? May be ur frnds or classmates?
ham,"Sorry about earlier. Putting out fires.Are you around to talk after 9? Or do you actually have a life, lol!"
ham,WOW! The Boys R Back. TAKE THAT 2007 UK Tour. Win VIP Tickets & pre-book with VIP Club. Txt CLUB to 81303. Trackmarque Ltd info@vipclub4u.
spam,"As in missionary hook up, doggy hook up, standing...|"
ham,Then u better go sleep.. Dun disturb u liao.. U wake up then msg me lor..
spam,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
ham,Am watching house â very entertaining â am getting the whole hugh laurie thing â even with the stick â indeed especially with the stick.
ham,Thought praps you meant another one. Goodo! I'll look tomorrow
ham,"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur Ârents mayb interested in it, I hav 12,000pes, so around Â£48, tb, James."
ham,There bold 2  &lt
ham,You know there is. I shall speak to you in  &lt
ham,I went to project centre
ham,As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
ham,Lol yeah at this point I guess not
spam,Doing project w frens lor.
ham,Lol. Well quality aint bad at all so i aint complaining
ham,"K, can that happen tonight?"
ham,"I think we're going to finn's now, come"
ham,Why tired what special there you had
ham,I will come tomorrow di
ham,I cant pick the phone right now. Pls send a message
ham,K go and sleep well. Take rest:-).
ham,U guys never invite me anywhere :(
ham,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise ofÂ£2000 CASH 18+only. To opt out txt X to 07786200117
ham,"IÂm cool ta luv but v.tired 2 cause i have been doin loads of planning all wk, we have got our social services inspection at the nursery! Take care & spk sn x."
spam,I don know account details..i will ask my mom and send you.my mom is out of reach now.
ham,I think u have the wrong number.
ham,Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit &amp
spam,Got it..mail panren paru..
ham,* Was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train
ham,Give one miss from that number please
ham,Jus came back fr lunch wif my sis only. U leh?
spam,How is your schedule next week? I am out of town this weekend.
ham,Really good:)dhanush rocks once again:)
spam,Lmao ok I wont be needing u to do my hair anymore.
ham,Sorry i'm not free...
spam,Do u ever get a song stuck in your head for no reason and it won't go away til u listen to it like 5 times?
spam,Nt yet chikku..simple habba..hw abt u?
ham,"Got ur mail Dileep.thank you so muchand look forward to lots of support...very less contacts here,remember one venugopal you mentioned.tomorrow if not late,i shall try to come up till there.goodnight dear."
ham,Sometimes Heart Remembrs someone Very much... Forgets someone soon... Bcoz Heart will not like everyone. But liked ones will be Remembered Everytime... BSLVYL
ham,Joy's father is John. Then John is the NAME of Joy's father. Mandan
ham,Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY Â£10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&
ham,Hi this is yijue... It's regarding the 3230 textbook it's intro to algorithms second edition... I'm selling it for $50...
ham,SMS AUCTION You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
ham,"K, want us to come by now?"
ham,How. Its a little difficult but its a simple way to enter this place
ham,Ha... Both of us doing e same thing. But i got tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind...
ham,Dont show yourself. How far. Put new pictures up on facebook.
ham,Watching tv now. I got new job :)
ham,"Its ok chikku, and its my 1 of favourite song..:-)"
ham,Did u see what I posted on your Facebook?
ham,Call FREEPHONE 0800 542 0578 now!
ham,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase
ham,"Loan for any purpose Â£500 - Â£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
ham,BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary
ham,";-( oh well, c u later"
ham,My uncles in Atlanta. Wish you guys a great semester.
ham,No dear i do have free messages without any recharge. Hi hi hi
ham,I dun believe u. I thk u told him.
ham,Yes:)sura in sun tv.:)lol.
ham,Arun can u transfr me d amt
spam,Takin a shower now but yeah I'll leave when I'm done
ham,Am not working but am up to eyes in philosophy so will text u later when a bit more free for chat...
ham,U havenÂt lost me ill always b here 4u.i didnÂt intend 2 hurt u but I never knew how u felt about me when Iwas+marine&thatÂs what itried2tell urmom.i careabout u
ham,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk"
ham,How much i gave to you. Morning.
ham,"Hey, can you tell me blake's address? Carlos wanted me to meet him there but I got lost and he's not answering his phone"
ham,Can i get your opinion on something first?
ham,That one week leave i put know that time. Why.
ham,"If we hit it off, you can move in with me :)"
ham,excellent. I spent  &lt
ham,I wanna watch that movie
ham,Ok lor thanx... Ã in school?
spam,I'm in class. Did you get my text.
ham,The bus leaves at  &lt
ham,God bless.get good sleep my dear...i will pray!
ham,Todays Voda numbers ending 1225 are selected to receive a Â£50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app
ham,Aiyo a bit pai seh Ã¼ noe... Scared he dun rem who i am then die... Hee... But he become better lookin oredi leh...
spam,"Aight, I'll ask a few of my roommates"
ham,"Now, whats your house # again ? And do you have any beer there ?"
ham,Do Ã¼ all wan 2 meet up n combine all the parts? How's da rest of da project going?
ham,Getting tickets 4 walsall tue 6 th march. My mate is getting me them on sat. ill pay my treat. Want 2 go. Txt bak .Terry
ham,Yes we are chatting too.
ham,Sian... Aft meeting supervisor got work 2 do liao... U working now?
ham,Are you going to write ccna exam this week??
ham,Well i will watch shrek in 3D!!B)
ham,Am i that much dirty fellow?
spam,Dunno dat's wat he told me. Ok lor...
spam,I'll probably be by tomorrow (or even later tonight if something's going on)
spam,I couldn't say no as he is a dying man and I feel sad for him so I will go and I just wanted you to know I would probably be gone late into your night
ham,If you're thinking of lifting me one then no.
ham,Same as u... Dun wan... Y u dun like me already ah... Wat u doing now? Still eating?
ham,Sent me ur email id soon
ham,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!
spam,May i call You later Pls
ham,That's the way you should stay oh.
ham,Hello- thanx for taking that call. I got a job! Starts on monday!
ham,What time is ur flight tmr?
spam,When should I come over?
ham,I have a rather prominent bite mark on my right cheek
ham,* Will be september by then!
ham,And how's your husband.
ham,"Hack Chat. Get backdoor entry into 121 chat rooms at a fraction of the cost. Reply NEO69 or call 09050280520, to subscribe 25p pm. DPS, Bcm box 8027 Ldn, wc1n3xx"
ham,Are we doing the norm tomorrow? I finish just a 4.15 cos of st tests. Need to sort library stuff out at some point tomo - got letter from today - access til end march so i better get move on!
ham,Yeah. I got a list with only u and Joanna if I'm feeling really anti social
spam,I am in your office na.
ham,Are you comingdown later?
ham,Super da:)good replacement for murali
ham,Da is good good player.why he is unsold.
ham,Hi. || Do u want | to join me with sts later? || Meeting them at five. || Call u after class.
ham,Its on in engalnd! But telly has decided it won't let me watch it and mia and elliot were kissing! Damn it!
ham,"FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV"
ham,I dont want to hear philosophy. Just say what happen
ham,You got job in wipro:)you will get every thing in life in 2 or 3 years.
ham,Then cant get da laptop? My matric card wif Ã¼ lei...
ham,Dunno da next show aft 6 is 850. Toa payoh got 650.
ham,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate"
ham,I just made some payments so dont have that much. Sorry. Would you want it fedex or the other way.
spam,They did't play one day last year know even though they have very good team.. Like india.
ham,"Sir, i am waiting for your call."
spam,What's up. Do you want me to come online?
ham,"It could work, we'll reach a consensus at the next meeting"
spam,Aiyah then i wait lor. Then u entertain me. Hee...
ham,I'll let you know when it kicks in
ham,You call him now ok i said call him
ham,Call to the number which is available in appointment. And ask to connect the call to waheed fathima.
spam,Or Ã¼ go buy wif him then i meet Ã¼ later can?
ham,Today my system sh get ready.all is well and i am also in the deep well
ham,Mom wants to know where you at
ham,"Aight, I'll text you when I'm back"
ham,Dont know supports ass and srt i thnk. I think ps3 can play through usb too
ham,Oh ok i didnt know what you meant. Yep i am baby jontin
ham,You have WON a guaranteed Â£1000 cash or a Â£2000 prize.To claim yr prize call our customer service representative on
spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
spam,Watching tv now. I got new job :)
ham,This pen thing is beyond a joke. Wont a Biro do? Don't do a masters as can't do this ever again!
spam,I AM AT A PARTY WITH ALEX NICHOLS
ham,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594
ham,Just seeing your missed call my dear brother. Do have a gr8 day.
ham,Ok.. Ã finishing soon?
ham,"Sorry, I can't help you on this."
ham,"Come to me, slave. Your doing it again ... Going into your shell and unconsciously avoiding me ... You are making me unhappy :-("
ham,I think asking for a gym is the excuse for lazy people. I jog.
ham,Urgent! Please call 09061743811 from landline. Your ABTA complimentary 4* Tenerife Holiday or Â£5000 cash await collection SAE T&Cs Box 326 CW25WX 150ppm
ham,No. On the way home. So if not for the long dry spell the season would have been over
ham,I gotta collect da car at 6 lei.
ham,Ok but knackered. Just came home and went to sleep! Not good at this full time work lark.
ham,Probably earlier than that if the station's where I think it is
ham,CALL 09090900040 & LISTEN TO EXTREME DIRTY LIVE CHAT GOING ON IN THE OFFICE RIGHT NOW TOTAL PRIVACY NO ONE KNOWS YOUR [sic] LISTENING 60P MIN 24/7MP 0870753331018+
ham,Good Morning plz call me sir
ham,"Uh, heads up we don't have THAT much left"
ham,I tot u outside cos darren say u come shopping. Of course we nice wat. We jus went sim lim look at mp3 player.
ham,"Aight, sounds good. When do you want me to come down?"
ham,Wat would u like 4 ur birthday?
ham,And miss vday the parachute and double coins??? U must not know me very well...
ham,"Sorry, I'll call later"
ham,My sister got placed in birla soft da:-)
ham,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
ham,Wah... Okie okie... Muz make use of e unlimited... Haha...
spam,"There're some people by mu, I'm at the table by lambda"
ham,And stop being an old man. You get to build snowman snow angels and snowball fights.
ham,ELLO BABE U OK?
spam,Hello beautiful r u ok? I've kinda ad a row wiv and he walked out the pub?? I wanted a night wiv u Miss u
ham,Then u going ikea str aft dat?
ham,Becoz its  &lt
ham,Lol grr my mom is taking forever with my prescription. Pharmacy is like 2 minutes away. Ugh.
ham,For real tho this sucks. I can't even cook my whole electricity is out. And I'm hungry.
ham,You want to go?
ham,Its not that time of the month nor mid of the time?
ham,Fffff. Can you text kadeem or are you too far gone
ham,We not leaving yet. Ok lor then we go elsewhere n eat. U thk...
ham,Is fujitsu s series lifebook good?
ham,Yar i wanted 2 scold u yest but late already... I where got zhong se qing you? If u ask me b4 he ask me then i'll go out w u all lor. N u still can act so real.
ham,Dont know you bring some food
ham,No current and food here. I am alone also
ham,I'll be in sch fr 4-6... I dun haf da book in sch... It's at home...
ham,Hello. They are going to the village pub at 8 so either come here or there accordingly. Ok?
spam,Ok
ham,We don call like  &lt
ham,"Dont give a monkeys wot they think and i certainly don't mind. Any friend of mine&all that! Just don't sleep wiv , that wud be annoyin!"
ham,Omg it could snow here tonite!
ham,Call from 08702490080 - tells u 2 call 09066358152 to claim Â£5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!
ham,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or Â£250 cash every wk. Txt VPOD to 81303 Ts&Cs www.textpod.net custcare 08712405020.
ham,Carry on not disturbing both of you
ham,What pa tell me.. I went to bath:-)
ham,Jus finished avatar nigro
ham,R u over scratching it?
ham,Hope you are having a great day.
spam,Did either of you have any idea's? Do you know of anyplaces doing something?
ham,"My planning usually stops at ""find hella weed, smoke hella weed"""
ham,"The fact that you're cleaning shows you know why i'm upset. Your priority is constantly ""what i want to do,"" not ""what i need to do."""
ham,More people are dogging in your area now. Call 09090204448 and join like minded guys. Why not arrange 1 yourself. There's 1 this evening. AÂ£1.50 minAPN LS278BB
ham,Dude avatar 3d was imp. At one point i thought there were actually flies in the room and almost tried hittng one as a reflex
ham,"WELL DONE! Your 4* Costa Del Sol Holiday or Â£5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, CostÂ£1.50/pm, Max10mins"
ham,K...k:)why cant you come here and search job:)
ham,I got lousy sleep. I kept waking up every 2 hours to see if my cat wanted to come in. I worry about him when its cold :(
ham,"Yeah, I'll leave in a couple minutes &amp; let you know when I get to mu"
spam,Can Ã¼ call me at 10:10 to make sure dat i've woken up...
ham,Hey we can go jazz power yoga hip hop kb and yogasana
ham,The battery is for mr adewale my uncle. Aka Egbon
ham,I cant pick the phone right now. Pls send a message
ham,Wait 2 min..stand at bus stop
ham,Oh ic. I thought you meant mary jane.
spam,Haha... Really oh no... How? Then will they deduct your lesson tmr?
ham,Nah im goin 2 the wrks with j wot bout u?
ham,Then just eat a shit and wait for ur monkey face bitch.......... U asshole..................
ham,Good night. Am going to sleep.
ham,"Aight I'll grab something to eat too, text me when you're back at mu"
ham,K...k:)why cant you come here and search job:)
ham,Take something for pain. If it moves however to any side in the next 6hrs see a doctor.
ham,Howz that persons story
ham,LOL that would be awesome payback.
ham,it to 80488. Your 500 free text messages are valid until 31 December 2005.
spam,Yes :)it completely in out of form:)clark also utter waste.
ham,Thanks. It was only from tescos but quite nice. All gone now. Speak soon
ham,What's a feathery bowa? Is that something guys have that I don't know about?
ham,Even i cant close my eyes you are in me our vava playing umma :-D
ham,2 laptop... I noe infra but too slow lar... I wan fast one
ham,You have won a guaranteed Â£200 award or even Â£1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP
ham,Nvm it's ok...
ham,Enjoy ur life. . Good night
ham,Yes but can we meet in town cos will go to gep and then home. You could text at bus stop. And don't worry we'll have finished by march â¦ ish!
ham,I had askd u a question some hours before. Its answer
ham,Thats cool. Where should i cum? On you or in you? :)
ham,Delhi and chennai still silent.
ham,Lol alright i was thinkin that too haha
ham,Reply to win Â£100 weekly! Where will the 2006 FIFA World Cup be held? Send STOP to 87239 to end service
ham,No I'm in the same boat. Still here at my moms. Check me out on yo. I'm half naked.
spam,Shhhhh nobody is supposed to know!
ham,"Sorry, I'll call later"
